
5-bit to 8-bit color component conversion

  5-bit    |     8-bit        
dec  bin   |   bin     dec hex
------------------------------
  0 00000  |  00000000   0  00
  1 00001  |  00001000   8  08
  2 00010  |  00010000  16  10
  3 00011  |  00011000  24  18
  4 00100  |  00100001  33  21
  5 00101  |  00101001  41  29
  6 00110  |  00110001  49  31
  7 00111  |  00111001  57  39
  8 01000  |  01000010  66  42
  9 01001  |  01001010  74  4a
 10 01010  |  01010010  82  52
 11 01011  |  01011010  90  5a
 12 01100  |  01100011  99  63
 13 01101  |  01101011 107  6b
 14 01110  |  01110011 115  73
 15 01111  |  01111011 123  7b
 16 10000  |  10000100 132  84
 17 10001  |  10001100 140  8c
 18 10010  |  10010100 148  94
 19 10011  |  10011100 156  9c
 20 10100  |  10100101 165  a5
 21 10101  |  10101101 173  ad
 22 10110  |  10110101 181  b5
 23 10111  |  10111101 189  bd
 24 11000  |  11000110 198  c6
 25 11001  |  11001110 206  ce
 26 11010  |  11010110 214  d6
 27 11011  |  11011110 222  de
 28 11100  |  11100111 231  e7
 29 11101  |  11101111 239  ef
 30 11110  |  11110111 247  f7
 31 11111  |  11111111 255  ff

